IPXJ.L,iShares III Public Limited Company - iShares MSCI Pacific ex-Japan UCITS ETF (Dist),IE00B4WXJD03,36.81,ETF,LSE
IRCP.L,iShares Euro Corp Bd Interest Rate Hdgd,IE00B6X2VY59,97.55,ETF,LSE
IRHC.L,iShares Euro Corp Bd Interest Rate Hdgd,IE00B6X2VY59,77.11,ETF,LSE
IRSA.L,iShares III Public Limited Company - iShares MSCI South Africa UCITS ETF,IE00B52XQP83,26.71,ETF,LSE
IS15.L,iShares £ Corporate Bond 0-5yr,IE00B5L65R35,104.66,ETF,LSE
ISAC.L,iShares MSCI ACWI,IE00B6R52259,35.54,ETF,LSE
ISAG.L,iShares Agribusiness,IE00B6R52143,26.22,ETF,LSE
ISBB.L,iShares Euro Corporate Bond BBB-BB,IE00BSKRK281,391.15,ETF,LSE
ISDE.L,iShares MSCI Emerging Markets Islamic,IE00B27YCP72,13.29,ETF,LSE
ISDU.L,iShares MSCI USA Islamic,IE00B296QM64,35.13,ETF,LSE
ISDW.L,iShares MSCI World Islamic,IE00B27YCN58,26.45,ETF,LSE
ISEM.L,iShares II Public Limited Company - iShares MSCI Emerging Markets Islamic UCITS ETF,IE00B27YCP72,934.75,ETF,LSE
